TXT_TIPO;TIPO;ALTOTABLA;TXT_COLOR;COLOR;ANCHOTABLA;TRANSPARENTE;MATE;BRONCE;GRIS;GRIS OSCURO
ABATIBLEMAG;5;2500;ESPECIAL;ESP;700;599,228;749,003;640,569;640,569;749,003
ABATIBLEMAG;5;2500;ESPECIAL;ESP;800;615,589;786,76;662,835;662,835;786,76
ABATIBLEMAG;5;2500;ESPECIAL;ESP;900;631,948;824,516;685,101;685,101;824,516
ABATIBLEMAG;5;2500;ESPECIAL;ESP;1000;648,309;862,273;707,367;707,367;862,273
ABATIBLEMAG;5;2500;ESPECIAL;ESP;1100;687,809;946,979;760,618;760,618;946,979
ABATDOBMAG;6;2700;NEGRO MATE TEXT;L.NMT;1200;1075,11;1341,598;1149,974;1149,974;1341,598
ABATDOBMAG;6;2700;NEGRO MATE TEXT;L.NMT;1400;1107,443;1418,344;1194,787;1194,787;1418,344
ABATDOBMAG;6;2700;NEGRO MATE TEXT;L.NMT;1600;1139,775;1495,092;1239,596;1239,596;1495,092
ABATDOBMAG;6;2700;NEGRO MATE TEXT;L.NMT;1800;1172,106;1571,839;1284,405;1284,405;1571,839
ABATDOBMAG;6;2700;NEGRO MATE TEXT;L.NMT;2000;1204,439;1648,587;1329,216;1329,216;1648,587
ABATDOBMAG;6;2500;NEGRO MATE TEXT;L.NMT;1200;1017,368;1241,447;1079,219;1079,219;1241,447
ABATDOBMAG;6;2500;NEGRO MATE TEXT;L.NMT;1400;1045,926;1307,349;1118,083;1118,083;1307,349
ABATDOBMAG;6;2500;NEGRO MATE TEXT;L.NMT;1600;1074,482;1373,253;1156,948;1156,948;1373,253
ABATDOBMAG;6;2500;NEGRO MATE TEXT;L.NMT;1800;1103,036;1439,153;1195,812;1195,812;1439,153
ABATDOBMAG;6;2500;NEGRO MATE TEXT;L.NMT;2000;1131,592;1505,057;1234,677;1234,677;1505,057
ABATDOBMAG;6;2700;BLANCO MATE;L.BM03;1200;1075,11;1341,598;1149,974;1149,974;1341,598
ABATDOBMAG;6;2700;BLANCO MATE;L.BM03;1400;1107,443;1418,344;1194,787;1194,787;1418,344
ABATDOBMAG;6;2700;BLANCO MATE;L.BM03;1600;1139,775;1495,092;1239,596;1239,596;1495,092
ABATDOBMAG;6;2700;BLANCO MATE;L.BM03;1800;1172,106;1571,839;1284,405;1284,405;1571,839
ABATDOBMAG;6;2700;BLANCO MATE;L.BM03;2000;1204,439;1648,587;1329,216;1329,216;1648,587
ABATDOBMAG;6;2500;BLANCO MATE;L.BM03;1200;1017,368;1241,447;1079,219;1079,219;1241,447
ABATDOBMAG;6;2500;BLANCO MATE;L.BM03;1400;1045,926;1307,349;1118,083;1118,083;1307,349
ABATDOBMAG;6;2500;BLANCO MATE;L.BM03;1600;1074,482;1373,253;1156,948;1156,948;1373,253
ABATDOBMAG;6;2500;BLANCO MATE;L.BM03;1800;1103,036;1439,153;1195,812;1195,812;1439,153
ABATDOBMAG;6;2500;BLANCO MATE;L.BM03;2000;1131,592;1505,057;1234,677;1234,677;1505,057
ABATDOBMAG;6;2700;CORTEN;L.C;1200;1075,11;1341,598;1149,974;1149,974;1341,598
ABATDOBMAG;6;2700;CORTEN;L.C;1400;1107,443;1418,344;1194,787;1194,787;1418,344
ABATDOBMAG;6;2700;CORTEN;L.C;1600;1139,775;1495,092;1239,596;1239,596;1495,092
ABATDOBMAG;6;2700;CORTEN;L.C;1800;1172,106;1571,839;1284,405;1284,405;1571,839
ABATDOBMAG;6;2700;CORTEN;L.C;2000;1204,439;1648,587;1329,216;1329,216;1648,587
ABATDOBMAG;6;2500;CORTEN;L.C;1200;1017,368;1241,447;1079,219;1079,219;1241,447
ABATDOBMAG;6;2500;CORTEN;L.C;1400;1045,926;1307,349;1118,083;1118,083;1307,349
ABATDOBMAG;6;2500;CORTEN;L.C;1600;1074,482;1373,253;1156,948;1156,948;1373,253
ABATDOBMAG;6;2500;CORTEN;L.C;1800;1103,036;1439,153;1195,812;1195,812;1439,153
ABATDOBMAG;6;2500;CORTEN;L.C;2000;1131,592;1505,057;1234,677;1234,677;1505,057
ABATDOBMAG;6;2700;ROBLE;C.RB;1200;1272,572;1539,06;1347,439;1347,439;1539,06
ABATDOBMAG;6;2700;ROBLE;C.RB;1400;1307,332;1618,236;1394,675;1394,675;1618,236
